config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
fast_tcn_6b3b0ba7,fast,tcn,3.0,0.5,0.001,0.2,huber,32,42,8,1.6119638406542898,0.2600099667862874,1.9969848445726244,0.3374752720796006,1.9969848445726244,0.1336537347984853,-0.2890680782668933,1.9256196848545863,pruned_early,pruning,,
fast_tcn_80d051a8,fast,tcn,3.0,0.5,0.0005,0.1,huber,32,42,8,1.6242066246907128,0.2644628262775363,2.029239986830899,0.3354532674533536,2.029239986830899,-0.0309645977091348,-0.3289321514957806,1.930784234749135,pruned_early,pruning,,
fast_tcn_fc8ad8c3,fast,tcn,3.0,0.5,0.0005,0.2,huber,32,42,8,1.6660280174451876,0.2632546522681248,2.04447142889858,0.3313395196413733,2.04447142889858,-0.009576653253063,-0.3319713679861066,1.9709224581886469,pruned_early,pruning,,
fast_tcn_c27da38e,fast,tcn,3.0,1.0,0.001,0.1,huber,32,42,8,1.6140004171308209,0.2690673348250709,2.0047909389096623,0.339714190975187,2.0047909389096623,0.1851466205502706,-0.2727348791954479,1.93679182573014,pruned_early,pruning,,
fast_tcn_1b8486df,fast,tcn,3.0,1.0,0.001,0.2,huber,32,42,19,1.2417893373990143,0.2055080344385792,1.5704436332393357,0.2607925917004,1.5704436332393357,0.004169561489303,-0.2054603336286439,1.4713821769188529,completed,,,
fast_tcn_3a48dfea,fast,tcn,3.0,1.0,0.0005,0.1,huber,32,42,8,1.6200325799225597,0.2654407737216825,2.0325467131568185,0.3440259296326791,2.0325467131568185,0.1481494758581958,-0.3373765145587563,1.9456075175032672,pruned_early,pruning,,
fast_tcn_fd93698e,fast,tcn,3.0,1.0,0.0005,0.2,huber,32,42,8,1.6292070671687695,0.2629152676633814,2.042555453108956,0.3411647191748618,2.042555453108956,0.0803483124141314,-0.3639828209849469,1.947641958356125,pruned_early,pruning,,
fast_tcn_0656d604,fast,tcn,4.0,0.5,0.001,0.1,huber,32,42,8,1.60192118141197,0.2619589725359691,1.9973935365801296,0.3280489926966172,1.9973935365801296,0.0021475068235888,-0.297161436235054,1.897188547851019,pruned_early,pruning,,
fast_tcn_16cc42ec,fast,tcn,4.0,0.5,0.001,0.2,huber,32,42,8,1.5856799275485227,0.2564007094130447,1.9876928857762743,0.3224506726068427,1.9876928857762743,-0.0070978652421538,-0.3036041232671958,1.879974485592454,pruned_early,pruning,,
fast_tcn_a8211550,fast,tcn,4.0,0.5,0.0005,0.1,huber,32,42,8,1.6355487080683502,0.2669856248168059,2.03156020589393,0.3371149205739533,2.03156020589393,0.0196398413664241,-0.3158333444085085,1.93998044550776,pruned_early,pruning,,
fast_tcn_048b6df4,fast,tcn,4.0,0.5,0.0005,0.2,huber,32,42,8,1.6278677156702903,0.2540840433344189,2.007257581323711,0.3253295433434612,2.007257581323711,0.064763375777622,-0.3340808955429278,1.9352370805572023,pruned_early,pruning,,
fast_tcn_1c8eeae5,fast,tcn,4.0,1.0,0.001,0.1,huber,32,42,8,1.6520192483527656,0.2819247397055676,2.059961992400987,0.3552366261070993,2.059961992400987,-0.0137606190195468,-0.3377256383418416,1.9643332892063723,pruned_early,pruning,,
fast_tcn_f4ebd3e2,fast,tcn,4.0,1.0,0.001,0.2,huber,32,42,8,1.6455018996838664,0.2631389583509723,2.0436522713128737,0.3370737841659738,2.0436522713128737,0.07870929971125,-0.299873404985317,1.9574456018581163,pruned_early,pruning,,
fast_tcn_6ead7e44,fast,tcn,4.0,1.0,0.0005,0.1,huber,32,42,8,1.6190486381477076,0.2768181474264617,2.0181764270443336,0.3429687821534605,2.0181764270443336,0.0936262930209754,-0.4032824130413834,1.944443002966041,pruned_early,pruning,,
fast_tcn_711acf91,fast,tcn,4.0,1.0,0.0005,0.2,huber,32,42,8,1.64955683042813,0.27662261277472416,2.0492207738055694,0.35070119957934115,2.0492207738055694,0.015158191544899679,-0.40023476153350346,1.9659317658874533,pruned_early,pruning,,
